AGE_GROUP,PERP_SEX,PERP_RACE,ARREST_YEAR,ARREST_BORO,PD_DESC
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
18-24,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2022,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
18-24,F,ASIAN / PACIFIC ISLANDER,2022,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,BLACK,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
65+,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2021,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,BLACK,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
18-24,F,BLACK,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
18-24,M,BLACK,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2021,Q,PROSTITUTION
18-24,F,BLACK HISPANIC,2021,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2020,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2020,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2020,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2020,Q,PROSTITUTION
18-24,F,WHITE,2020,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2020,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2020,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2020,Q,PROSTITUTION
18-24,F,BLACK,2020,Q,PROSTITUTION
25-44,F,BLACK,2020,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2020,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2020,Q,PROSTITUTION
18-24,F,BLACK,2020,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2020,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2020,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,WHITE,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
18-24,F,BLACK,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
18-24,F,BLACK,2019,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2019,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
18-24,F,BLACK,2019,Q,PROSTITUTION
18-24,F,BLACK,2019,Q,PROSTITUTION
18-24,F,BLACK,2019,Q,PROSTITUTION
18-24,F,WHITE,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,WHITE,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
18-24,F,BLACK,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,BLACK,2019,Q,PROSTITUTION
25-44,F,BLACK,2019,Q,PROSTITUTION
25-44,F,BLACK,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,BLACK,2019,Q,PROSTITUTION
25-44,F,BLACK,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,BLACK,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,WHITE,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,BLACK,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,WHITE,2019,Q,PROSTITUTION
25-44,F,WHITE,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,BLACK,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
18-24,F,WHITE HISPANIC,2019,Q,PROSTITUTION
45-64,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,WHITE,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2019,Q,PROSTITUTION
18-24,F,BLACK,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
25-44,F,BLACK,2019,Q,PROSTITUTION
25-44,F,BLACK,2019,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2019,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
45-64,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2018,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2018,Q,PROSTITUTION
45-64,M,WHITE HISPANIC,2018,Q,PROSTITUTION
45-64,M,WHITE HISPANIC,2018,Q,PROSTITUTION
18-24,F,BLACK,2018,Q,PROSTITUTION
25-44,F,BLACK,2018,Q,PROSTITUTION
25-44,F,WHITE HISPANIC,2018,Q,PROSTITUTION
18-24,F,BLACK,2018,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
25-44,F,BLACK HISPANIC,2018,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
18-24,F,BLACK,2018,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
18-24,F,BLACK,2018,Q,PROSTITUTION
25-44,F,WHITE,2018,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
25-44,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
18-24,F,ASIAN / PACIFIC ISLANDER,2018,Q,PROSTITUTION
25-44,F,BLACK,2018,Q,PROSTITUTION
18-24,F,WHITE,2018,Q,PROSTITUTION
25-44,F,BLACK,2018,Q,PROSTITUTION
